page	line	no	id	entry	ids	parts	radical	stroke	jion_R1	jion_R2	jion_L1	jion_L2	wakun1	wakun2	wakun3	wakun4	wakun5	wakun6	wakun7	wakun8	wakun9	remark
1_25a	3	1		一			一	1	イツ		イチ		ヒトツ	ハジメ	キハマリ	ヲナジフス	カタキナシ	スクナシ	カタクナ	モツハラ	ヒトへ	
1_25a	4	1		丂			一	1	カウ				サハル	ヲサル								
1_25a	5	1		七			一	1	シツ		シチ		ナヽツ									
1_25a	5	2		丁			一	1	テイ		チヤウ		ツヨシ	サカン								
1_25b	1	1		丄			一	1	シヤウ													
1_25b	1	2		丅			一	1	カ		ゲ											
1_25b	1	3		万			一	2	バン		マン		ヨロヅ	モヽヂ								
1_25b	1	4		丈			一	2	ヂヤウ				タケ	ナガサ	ツカサ	タスク						
1_25b	2	1		三			一	2	サン				ミツ									
1_25b	2	2		上			一	2	ジヤウ				タカシ	カミ	アガル							
1_25b	4	1		下			一	2	カ		ゲ		シモ	シタ	モト	クダル	イヤシ	ヲツル				
1_25b	5	1		丌			一	2	キ				モトヒ									
1_26a	1	1		𠆣			一	2	タ													
1_26a	1	2		亼			一	2	シヨク				マジヘル	アハスル								
1_26a	1	3		〓			一	2	シヤウ													
1_26a	1	4		〓			一	2	カ		ゲ											
1_26a	1	5		𠀃			一	2	シヤ				スヽム									
1_26a	2	1		不			一	3	フ		フウ		トビカケル	アラズ	イナヤ							
1_26a	2	2		与			一	3	ヨ				タマフ	クミスル	アタフ							
1_26a	3	1		丏			一	3	ベン				オホフ	カクス								
1_26a	3	2		丑			一	3	チウ				ムスブ	ツカヌ								
1_26a	3	3		丐			一	3	カツ	カイ												
1_26a	3	4		𣎴			一	3	ガツ													
1_26a	3	5		𠀇			一	3	シヤ		シヨ											
1_26b	1	1		弌			一	3	イツ													
1_26b	1	2		且			一	4	シヤ		シヨ		シバラク									
1_26b	1	3		丕			一	4	ヒ				ヲホヒナリ									
1_26b	2	1		丘			一	4	キウ				フルアト	アツマル	ツカ	ヲカ	ヲリドコロ					
1_26b	2	2		㐀			一	4														「上に同じ」と書かれている
1_26b	2	3		𠀍			一	4	セイ		セ		ヨ	カハル								
1_26b	3	1		丙			一	4	ヘイ		ヒヤウ		ヒノエ	アキラカ								
1_26b	3	2		𠀒			一	4	コ				カ	ヤ								
1_26b	3	3		世			一	4	セイ		セ											
1_26b	3	4		𠀈			一	4	キウ													
1_27a	1	1		㐁			一	5	テン		タン		シタ	タケノカハ								
1_27a	1	2		丞			一		シヨウ				タスク	タスケ								
1_27a	1	3		𠀘			一		テン													
1_27a	2	1		丠			一		キウ													
1_27a	2	2		𠀚			一		フ													
1_27a	2	3				一八亐	一		ヘイ				タイラカ	タイラグ	タヾシ	ヒトシ						
1_27a	2	4		丟			一		チウ				サル									
1_27a	2	5		𠀢			一		シ				サダマル									
1_27b	1	1		丣			一	6	イウ													
1_27b	1	2		𠀡			一		テン													
1_27b	1	3		並			一	7	ヘイ													
1_27b	1	4		𠀬			一	7	テン		タン											
1_27b	1	5		𠀮			一	7	キ													
1_27b	2	1		𠤢			一	9	キウ													
1_27b	2	2		𤳏			一	15	ライ													
1_27b	3	1		丨			丨	1	シ		コン		スヽム	シリゾク								
1_27b	3	2		丩			丨		キウ				マジハル	メグラス	ヲコル							
1_27b	4	1		个			丨	2	カ		コ											
1_27b	4	2		丫			丨		ア				キノマタ									
1_27b	4	3		㐄			丨		クハ				マタガリアユム									
1_27b	5	1		中			丨	3	チウ				ナカ	ヤハラグ	アタル							
1_27b	5	2		丮			丨		ケキ				タモツ									
1_27b	5	3		丯			丨		カイ				エダヅル	アクタ								
1_28a	1	1		丰			丨		ホウ				オモブクラ									
1_28a	1	2		〓			丨	4	ヘキ													
1_28a	1	3		丱			丨		クハン				アゲマキ	ビンヅラ								
1_28a	2	1		𠁦			丨	5	チウ													
1_28a	2	2		丰			丨		タウ													
1_28a	2	3		〓			丨	6	ゲン		ゴン											
1_28a	2	4		串			丨		クハン				ツラヌク	カサヌル								
1_28a	2	5		𠁩			丨	7	チウ													
1_28a	3	1		𦮃			丨		クハイ													
1_28a	3	2		𠁭			丨	8	キ				カタヽガヒ	タガフ								
1_28a	3	3		丵			丨	9	サク				クサシゲル									
1_28a	4	1		𠁰			丨		クハイ													
1_28a	4	2		𠁱			丨	10	シ													
1_28b	1	1		丶			丶	1	チユ				シルス	ヲス								
1_28b	1	2		𠁼			丶		ヰ													
1_28b	1	3		丸			丶		クハン				マロシ	マロブ								
1_28b	2	1		卞			丶	3	ヘン				ノリ									
1_28b	2	2		丹			丶		タン				アカシ									
1_28b	2	3		主			丶	4	シユ				アルジ	ツカサドル	ヌシ	キミ	ツカサ	マモル				
1_28b	3	1		丼			丶		タン				ドンブリ									
1_28b	3	2		㕻			丶	7	ホウ		トウ		イナ									
1_28b	4	1		咅			丶															
1_28b	4	2		𠂂			丶	8	シウ													
1_28b	4	3		𠂄			丶	12	クハン													
1_30a	1	1		丿			丿	1	ヘツ				モトル									
1_30a	1	2		乁			丿		ホツ				モトル									
1_30a	1	3		乂			丿		カイ				カル									
1_30a	1	4		𠂆			丿		ヱイ				ヒク									
1_30a	2	1		乃			丿		ダイ		ナイ		オホヒナリ	ユク	イマシ	スナハチ						
1_30a	2	2		𠂇			丿		サ				ヒダリ	ヒダリノテ	モトル							
1_30a	3	1		𠂈			丿		ケツ				ウゴク									
1_30a	3	2		乇			丿	2	タク				クサノハ									
1_30a	3	3		久			丿		キウ				ヒサシ									
1_30a	3	4		乆			丿															
1_30a	4	1		𠂍			丿		バン		マン											
1_30a	4	2				一𠂈	丿		テン													
1_30a	4	3		之			丿	3	シ				コレ	イタル	ユク	コノ	イヅル					
1_30a	4	4		𨈐			丿		ケツ				モト									
1_30b	1	1				𠂆二丨	丿	4	コ				タモツ	モツ								
1_30b	1	2		乎			丿		コ													
1_30b	1	3				ノ亡	丿		ト		コ		ヲノレ									
1_30b	1	4		乍			丿		サ													
1_30b	1	5		𠂔			丿		シ				トヾマル									
